nombre,poblacion,superficie,continente

argentina,45851378,2736690,america

australia,26974026,7682300,oceania

kenia,57532493,580370,africa

japon,122905500,377930,asia

españa,47800000,505990,europa

brasil,214326223,8515767,america

canada,38929902,9984670,america

estados unidos,334914895,9833517,america

china,1411778724,9596961,asia

india,1428627663,3287263,asia

rusia,143917000,17098242,europa

francia,68400000,551695,europa

italia,58850000,301340,europa

sudafrica,60900000,1219090,africa

egipto,112716598,1002450,africa

nigeria,227882000,923769,africa

mexico,129875529,1964375,america

chile,19963276,756102,america

nueva zelanda,5228000,268838,oceania

indonesia,277534123,1904569,asia

